"CTRY13CD","CTRY13NM","GOR10CD","GOR10NM","LAD13CD","LAD13NM"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000164","Hambleton"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000165","Harrogate"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000166","Richmondshire"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000167","Ryedale"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000168","Scarborough"
"E92000001","England","E12000003","Yorkshire and The Humber","E07000169","Selby"
"E92000001","England","E12000004","East Midlands","E07000170","Ashfield"
"E92000001","England","E12000004","East Midlands","E07000171","Bassetlaw"
"E92000001","England","E12000004","East Midlands","E07000172","Broxtowe"
"E92000001","England","E12000004","East Midlands","E07000173","Gedling"
"E92000001","England","E12000004","East Midlands","E07000174","Mansfield"
"E92000001","England","E12000004","East Midlands","E07000175","Newark and Sherwood"
"E92000001","England","E12000004","East Midlands","E07000176","Rushcliffe"
"E92000001","England","E12000008","South East","E07000177","Cherwell"
"E92000001","England","E12000008","South East","E07000178","Oxford"
"E92000001","England","E12000008","South East","E07000179","South Oxfordshire"
"E92000001","England","E12000008","South East","E07000180","Vale of White Horse"
"E92000001","England","E12000008","South East","E07000181","West Oxfordshire"
"E92000001","England","E12000009","South West","E07000187","Mendip"
"E92000001","England","E12000009","South West","E07000188","Sedgemoor"
"E92000001","England","E12000009","South West","E07000189","South Somerset"
"E92000001","England","E12000009","South West","E07000190","Taunton Deane"
"E92000001","England","E12000009","South West","E07000191","West Somerset"
"E92000001","England","E12000005","West Midlands","E07000192","Cannock Chase"
"E92000001","England","E12000005","West Midlands","E07000193","East Staffordshire"
"E92000001","England","E12000005","West Midlands","E07000194","Lichfield"
"E92000001","England","E12000005","West Midlands","E07000195","Newcastle-under-Lyme"
"E92000001","England","E12000005","West Midlands","E07000196","South Staffordshire"
"E92000001","England","E12000005","West Midlands","E07000197","Stafford"
"E92000001","England","E12000005","West Midlands","E07000198","Staffordshire Moorlands"
"E92000001","England","E12000005","West Midlands","E07000199","Tamworth"
"E92000001","England","E12000006","East of England","E07000200","Babergh"
"E92000001","England","E12000006","East of England","E07000201","Forest Heath"
"E92000001","England","E12000006","East of England","E07000202","Ipswich"
"E92000001","England","E12000006","East of England","E07000203","Mid Suffolk"
"E92000001","England","E12000006","East of England","E07000204","St Edmundsbury"
"E92000001","England","E12000006","East of England","E07000205","Suffolk Coastal"
"E92000001","England","E12000006","East of England","E07000206","Waveney"
"E92000001","England","E12000008","South East","E07000207","Elmbridge"
"E92000001","England","E12000008","South East","E07000208","Epsom and Ewell"
"E92000001","England","E12000008","South East","E07000209","Guildford"
"E92000001","England","E12000008","South East","E07000210","Mole Valley"
"E92000001","England","E12000008","South East","E07000211","Reigate and Banstead"
"E92000001","England","E12000008","South East","E07000212","Runnymede"
"E92000001","England","E12000008","South East","E07000213","Spelthorne"
"E92000001","England","E12000008","South East","E07000214","Surrey Heath"
"E92000001","England","E12000008","South East","E07000215","Tandridge"
"E92000001","England","E12000008","South East","E07000216","Waverley"
"E92000001","England","E12000008","South East","E07000217","Woking"
"E92000001","England","E12000005","West Midlands","E07000218","North Warwickshire"
"E92000001","England","E12000005","West Midlands","E07000219","Nuneaton and Bedworth"
"E92000001","England","E12000005","West Midlands","E07000220","Rugby"
"E92000001","England","E12000005","West Midlands","E07000221","Stratford-on-Avon"
"E92000001","England","E12000005","West Midlands","E07000222","Warwick"
"E92000001","England","E12000008","South East","E07000223","Adur"
"E92000001","England","E12000008","South East","E07000224","Arun"
"E92000001","England","E12000008","South East","E07000225","Chichester"
"E92000001","England","E12000008","South East","E07000226","Crawley"
"E92000001","England","E12000008","South East","E07000227","Horsham"
"E92000001","England","E12000008","South East","E07000228","Mid Sussex"
"E92000001","England","E12000008","South East","E07000229","Worthing"
"E92000001","England","E12000005","West Midlands","E07000234","Bromsgrove"
"E92000001","England","E12000005","West Midlands","E07000235","Malvern Hills"
"E92000001","England","E12000005","West Midlands","E07000236","Redditch"
"E92000001","England","E12000005","West Midlands","E07000237","Worcester"
"E92000001","England","E12000005","West Midlands","E07000238","Wychavon"
"E92000001","England","E12000005","West Midlands","E07000239","Wyre Forest"
"N92000002","Northern Ireland","","","","Derry"
