name,mnemonic,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,Not classified
Great Yarmouth,E07000145,3547,11302,8174,7242,6418,13995,11280,4159,4117
King`s Lynn and West Norfolk,E07000146,7462,20296,13234,12570,9468,19745,13916,4363,5537
North Norfolk,E07000147,5277,14811,8092,11029,5987,13064,8414,2611,3168
Norwich,E07000148,9325,18519,10937,6887,6564,15455,12719,5412,14884
South Norfolk,E07000149,10071,20465,12140,11069,6312,13182,8787,2383,4928
Babergh,E07000200,6651,14379,8217,7942,4681,9219,6688,1819,3479
Forest Heath,E07000201,3441,9155,6180,4188,4151,6767,6543,1496,2132
Ipswich,E07000202,7649,17768,13117,7373,7690,17679,13765,5510,6616
Mid Suffolk,E07000203,7485,16367,9433,9024,5024,9835,7533,1682,3690
St Edmundsbury,E07000204,8204,17588,10964,8051,6320,12911,9936,2477,4517
Suffolk Coastal,E07000205,10007,20791,12493,10390,6237,12413,8711,2343,4865
Waveney,E07000206,5219,14792,9900,8519,7482,16053,11796,3629,4487
Camden,E09000007,33268,45523,13768,13071,5827,12441,8305,13263,28367
City of London,E09000001,2237,1972,454,376,151,256,155,215,491
Hackney,E09000012,21254,46300,17871,15821,8402,18122,14782,22345,22526
Hammersmith and Fulham,E09000013,26897,40603,13900,11606,5921,11173,8933,10167,16352
Haringey,E09000014,22977,45609,17593,19822,9525,18961,15972,20106,22497
Islington,E09000019,29823,42440,14764,11348,6435,13573,10762,14246,21758
Kensington and Chelsea,E09000020,26985,37032,9575,11811,3706,8604,6002,9150,13215
Lambeth,E09000022,36181,64011,24395,18539,11541,21766,18836,18270,24191
Lewisham,E09000023,23004,49855,24644,17201,11074,23693,15583,16975,24226
Newham,E09000025,13904,32474,21445,21599,12993,29228,21771,32762,42782
Southwark,E09000028,32254,52198,21748,15563,11479,22801,18056,18144,32308
Tower Hamlets,E09000030,28280,42733,18306,11415,9470,17919,12707,26453,29269
Wandsworth,E09000032,50634,73731,24654,19693,9160,17845,12931,13182,21703
Westminster,E09000033,36568,46016,13823,13438,6024,12253,8911,16609,21863
Barking and Dagenham,E09000002,6509,19552,16456,12095,8634,19994,15417,14433,14478
Barnet,E09000003,38201,61265,29997,32240,10281,23633,15204,18712,28910
Bexley,E09000004,14262,34273,30722,16632,11441,21892,14428,8130,14134
Brent,E09000005,21788,42974,24376,27323,12335,28276,22452,24514,29688
Bromley,E09000006,32187,58487,36633,23195,11273,22592,13091,9481,15600
Croydon,E09000008,29245,59496,40294,24662,14165,30974,19059,19335,25818
Ealing,E09000009,30399,53991,27765,26646,13447,26992,21864,23973,27687
Enfield,E09000010,21144,44654,27967,23976,11949,26507,19730,23326,24771
Greenwich,E09000011,20303,38484,22121,16107,10395,23351,16348,16787,22826
Harrow,E09000015,24208,37273,23869,19353,7576,18133,10877,14226,19236
Havering,E09000016,14857,34684,32244,18737,11727,23241,15430,8030,12178
Hillingdon,E09000017,19992,39908,28793,17701,13303,23348,17518,13538,25825
Hounslow,E09000018,21028,39469,24102,17403,12066,23232,17371,15085,20401
Kingston upon Thames,E09000021,19270,30680,14775,11233,5025,10730,6216,5392,16352
Merton,E09000024,23721,37266,18958,15031,7387,14669,10031,8798,13737
Redbridge,E09000026,24099,41865,26428,21266,8731,21170,12430,19975,23580
Richmond upon Thames,E09000027,30751,44674,15057,12888,4705,8877,5514,4614,10699
Sutton,E09000029,16419,33452,23163,14847,8448,15842,9958,6313,10268
Waltham Forest,E09000031,15287,37841,22694,22693,11185,21702,17279,19741,22556
Bracknell Forest,E06000036,12411,20943,12402,7451,5663,10021,6549,2448,5228
Brighton and Hove,E06000043,25164,52400,24512,21935,10112,22193,13819,8401,32256
Isle of Wight,E06000046,7635,20335,11724,13218,8056,17171,11550,4378,5680
Medway,E06000035,14438,37163,28832,18001,15178,29938,23908,10522,16178
Milton Keynes,E06000042,22216,40072,27136,14341,12370,24144,19884,8806,12416
Portsmouth,E06000044,13041,28637,18949,12181,10559,20506,17116,7293,25423
Reading,E06000038,16988,25043,13867,8048,6640,14369,10545,6472,14836
Slough,E06000039,8434,17707,12851,8823,7380,15180,11638,8921,9524
Southampton,E06000045,15250,30469,19880,13382,12144,26080,21705,9180,32111
West Berkshire,E06000037,17536,27630,15768,11293,7209,13764,9441,2987,6426
Windsor and Maidenhead,E06000040,18943,28707,13670,10466,5835,9803,6569,3454,6800
Wokingham,E06000041,22352,31191,16354,9996,5406,10402,5983,3000,7589
Aylesbury Vale,E07000004,17075,32149,17763,13960,7723,14672,10840,4228,8330
Chiltern,E07000005,11955,18438,8473,7675,2897,5978,3586,1856,4185
South Bucks,E07000006,8339,12967,6521,5699,2591,4167,2931,1372,3215
Wycombe,E07000007,18295,30515,15939,13235,7027,13960,9324,5346,10547
Eastbourne,E07000061,5604,15638,9353,7601,5049,11098,6906,3004,6220
Hastings,E07000062,4224,13101,8683,8023,4618,11232,7247,4487,4421
Lewes,E07000063,7706,16584,9401,8938,4578,9504,6059,2270,4229
Rother,E07000064,6066,14384,8487,9836,4013,8776,5048,2636,3615
Wealden,E07000065,12668,26506,14280,15805,6469,13269,7847,2817,6218
Basingstoke and Deane,E07000084,18586,29824,18571,10610,8396,15934,11241,3425,6656
East Hampshire,E07000085,12122,21577,10584,9964,5218,10155,6356,2210,5336
Eastleigh,E07000086,11336,21886,13773,8583,6964,12635,8332,2615,5458
Fareham,E07000087,10707,20900,12287,7431,5737,10432,6545,1925,5234
Gosport,E07000088,4788,12985,8267,4747,5525,9675,7550,2319,3643
Hart,E07000089,12239,18439,9667,6425,3847,6586,3774,1329,3781
Havant,E07000090,8175,17414,11511,8976,6712,14099,10391,3690,5279
New Forest,E07000091,13622,29361,17192,14916,10009,17987,11746,3479,6486
Rushmoor,E07000092,7306,15600,10752,5469,5678,10191,7048,2873,4735
Test Valley,E07000093,12130,20233,11947,8491,5874,11038,7910,2104,4925
Winchester,E07000094,15033,21967,9531,8638,4272,8223,5407,1905,9519
Ashford,E07000105,8617,18533,11256,9864,6674,12220,8660,3212,5216
Canterbury,E07000106,10801,22590,12344,10884,6494,13916,9052,4164,21622
Dartford,E07000107,6259,15250,11779,6962,5563,10093,7267,2984,4331
Dover,E07000108,6157,16726,10513,8564,6843,13757,9140,4040,5046
Gravesham,E07000109,5662,13869,10034,7279,5736,11663,9585,4366,4997
Maidstone,E07000110,12294,26838,16710,12372,7778,14902,11596,3948,6793
Sevenoaks,E07000111,12228,20564,12146,9894,4718,9128,6129,2247,5044
Shepway,E07000112,6127,16356,10757,8770,6091,12243,8397,4197,5000
Swale,E07000113,7483,18889,13604,10519,8136,14941,13682,5623,5730
Thanet,E07000114,6217,18058,11661,11093,7105,16102,11309,6279,6628
Tonbridge and Malling,E07000115,10700,20658,13044,9097,5793,10846,8123,2564,5610
Tunbridge Wells,E07000116,11442,21649,10677,9436,4648,9694,6402,2401,5703
Cherwell,E07000177,12016,23607,14025,9820,7909,15024,11657,3114,6097
Oxford,E07000178,18242,21594,9379,5961,5072,11290,9062,5034,32803
South Oxfordshire,E07000179,16294,25102,12413,10720,6147,10270,8275,2271,5400
Vale of White Horse,E07000180,14951,22350,11440,8164,5617,9511,7831,2035,5578
West Oxfordshire,E07000181,10604,19141,9940,8361,5722,9370,7391,1603,4031
Elmbridge,E07000207,18850,27103,11409,10223,3791,7523,4424,2665,6039
Epsom and Ewell,E07000208,8478,14496,8394,5554,2678,5189,3095,1675,4611
Guildford,E07000209,17558,25957,12343,9376,5085,9491,6157,2638,13449
Mole Valley,E07000210,10099,16970,8688,7542,3001,5767,3444,1566,3701
Reigate and Banstead,E07000211,15254,26633,15250,10769,5491,10442,6211,3267,5856
Runnymede,E07000212,7939,13993,8089,5868,3621,6094,4164,1758,8267
Spelthorne,E07000213,8187,16994,12553,6663,5267,8200,5846,2319,3887
Surrey Heath,E07000214,10572,16974,9347,6307,3677,6344,3735,1742,3867
Tandridge,E07000215,8809,15965,9081,7248,3216,6179,3408,1744,3807
Waverley,E07000216,15226,23655,10343,10012,4297,8303,5004,2079,6698
Woking,E07000217,12432,18656,9798,6846,4011,7927,4574,2872,4606
Adur,E07000223,3815,9692,6768,5199,3352,6882,4221,1444,2487
Arun,E07000224,9445,22604,14661,12938,8055,17259,11192,3892,6025
Chichester,E07000225,10562,19707,9621,11059,4995,10090,6467,2270,6266
Crawley,E07000226,6856,15382,13027,5853,6575,12470,8621,3773,4791
Horsham,E07000227,14337,24652,13406,11041,5825,10612,6431,2360,5654
Mid Sussex,E07000228,14655,27244,15343,10660,6119,11577,6348,2240,6066
Worthing,E07000229,7715,17367,11788,7983,5118,10984,6157,2743,4483
Bath and North East Somerset,E06000022,16594,29099,14725,12608,7557,15813,11005,3485,19664
Bournemouth,E06000028,12548,28276,17039,14602,9120,19620,12848,5407,18114
"Bristol, City of",E06000023,39594,65278,37603,22926,19267,42960,33632,16885,43361
Cornwall,E06000052,29306,79613,43652,57927,32243,62020,44096,13101,26900
Isles of Scilly,E06000053,93,365,165,445,162,201,154,17,20
North Somerset,E06000024,17396,33912,20141,15056,10335,21816,13821,4379,8496
Plymouth,E06000026,13270,34784,25553,14418,14892,30614,24491,9187,24577
